,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_probability,risk_tier
1396,0,1,0,0,-1.163896992279451,1,0,2,0,1,1,0,1,1,0,1,1.1559398282825384,-0.8170004195120447,True,False,False,0.9286696,High
2392,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,1,1,0,1,0.7756165316254241,-0.9727983116470256,False,True,False,0.927369,High
931,0,1,0,0,-1.163896992279451,1,1,2,0,0,0,0,0,1,0,1,0.651056499969164,-0.853367910553426,False,True,False,0.92699516,High
85,1,0,0,0,-0.9601500007016792,1,1,2,0,1,0,0,1,1,0,1,1.1393318240617039,-0.6078488909731522,True,False,False,0.92535514,High
2072,0,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,0,0.21094438811704486,-0.9802695786887594,False,True,False,0.92473197,High
3539,0,0,0,0,0.7105753302360499,1,1,2,0,0,0,0,1,1,0,1,1.0197541936716943,1.0670333852649636,False,True,False,0.9238117,High
3140,0,0,0,0,-1.163896992279451,1,0,2,0,1,0,0,0,0,0,1,0.3869892328578929,-0.8650142974125994,False,False,False,0.9237724,High
2362,0,0,0,0,-1.2861451872261143,1,0,2,0,0,1,0,1,0,0,1,0.6826117079887499,-0.9740288732774287,True,False,False,0.9223863,High
352,0,1,0,0,-1.041648797332788,1,0,2,0,0,0,0,1,1,0,1,0.8021893383787599,-0.75920797151275,False,True,False,0.9189931,High
1361,1,0,1,0,-0.9194006023861249,1,1,2,0,0,0,0,1,0,0,1,0.6842725084108333,-0.6539510034836162,False,True,False,0.918941,High
6181,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,1,0,0,0.5148708653583197,-0.9762482790751202,False,True,False,0.91832936,High
2724,0,0,0,0,-1.2453957889105598,1,1,2,0,0,0,0,0,1,0,1,0.6875941092550005,-0.9370021527911885,False,True,False,0.91825306,High
641,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,1,1,0,1,0.8154757417554275,-0.9722709280911384,False,True,False,0.91793495,High
4143,1,1,1,0,-1.041648797332788,1,0,2,0,0,0,0,1,1,0,1,0.7972069371125095,-0.7455399476893425,False,True,False,0.9170664,High
4670,0,0,0,1,-1.2453957889105598,1,1,2,0,0,0,0,1,1,0,1,0.9699301810091903,-0.9264544816734465,False,False,False,0.91640425,High
6231,1,0,0,1,-1.2861451872261143,1,1,2,0,0,0,0,1,1,0,1,0.9400357734116875,-0.9706228544789911,False,True,False,0.9160031,High
3657,0,0,0,0,-0.9601500007016792,1,0,2,0,0,0,0,1,1,0,1,0.7772773320475079,-0.6650480324720739,False,False,True,0.9145709,High
5090,1,1,0,0,-1.2046463905950056,1,1,2,0,0,0,0,0,0,0,1,0.398614835812477,-0.9071390589390815,False,True,False,0.9139049,High
1802,0,0,0,0,-1.2861451872261143,1,0,2,0,0,1,0,0,0,0,0,0.3770244303253917,-0.9780721472058965,False,True,False,0.91312903,High
679,1,0,1,1,-1.2861451872261143,1,0,2,0,0,0,0,0,1,0,0,0.4982628611374851,-0.9764680222234066,False,True,False,0.9118486,High
683,0,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,0,0.2026403860066275,-0.9803794502629026,False,False,True,0.91179323,High
5384,0,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.18603238178579282,-0.980599193411189,False,True,False,0.9113634,High
3323,0,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.17440677883120873,-0.9807530136149892,False,True,False,0.9113634,High
5653,0,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.17440677883120873,-0.9807530136149892,False,True,False,0.9113634,High
2505,1,0,0,0,-1.2861451872261143,1,1,2,0,0,0,0,0,0,0,1,0.3072708125978862,-0.9789950684286989,False,False,True,0.910625,High
4476,1,0,0,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.1777283796753755,-0.9807090649853321,False,True,False,0.9104461,High
1455,1,0,0,0,-1.1231475939638966,1,1,2,0,1,1,0,0,0,0,1,0.6743077058783327,-0.8252188132579519,False,True,False,0.90793604,High
6170,0,1,0,0,-0.8786512040705705,1,1,2,0,0,0,0,1,1,0,1,1.0014853890287763,-0.5731734221735753,False,False,False,0.9075995,High
3082,0,0,0,0,-1.0008993990172337,1,1,2,0,0,0,0,1,0,0,1,0.7324357206512541,-0.6766944193312474,False,True,False,0.90710574,High
1846,0,0,1,0,-1.2453957889105598,0,0,1,0,0,0,0,0,1,0,1,-0.9931359178934696,-0.9814122430598481,False,True,False,0.90621406,High
64,0,0,0,0,-0.9601500007016792,1,1,2,0,0,0,0,1,1,0,0,0.9765733826975241,-0.634877298212366,False,True,False,0.9060887,High
581,0,1,0,0,-1.163896992279451,1,1,2,0,0,1,0,1,0,0,1,0.8038501388008433,-0.8594767700757848,False,True,False,0.90285987,High
5993,1,0,1,0,-1.0823981956483424,1,1,2,0,0,0,0,1,0,0,1,0.5929284851962426,-0.8093533579516817,False,True,False,0.90023214,High
884,0,1,0,0,-1.041648797332788,1,0,2,0,0,1,0,1,0,0,1,0.6427524978587467,-0.7436941052437377,False,True,False,0.8997175,High
531,1,0,0,0,-1.2453957889105598,1,0,2,0,0,0,0,1,0,0,1,0.4966020607154017,-0.9349585415121261,False,True,False,0.8964703,High
4939,1,0,0,0,-0.26741022933725495,1,1,2,0,0,1,0,1,1,0,1,1.1077766160421179,0.09381295581980612,False,True,False,0.896066,High
3749,1,0,0,0,-1.163896992279451,1,1,2,0,0,0,0,0,0,0,1,0.367059627792891,-0.8714747459722163,False,True,False,0.8959841,High
2436,0,1,0,0,-1.2453957889105598,1,0,2,0,0,0,0,1,0,0,0,0.5480868737999891,-0.9401884284413398,False,False,True,0.8952135,High
346,0,0,0,0,-1.2453957889105598,1,0,2,0,0,0,0,1,1,0,1,0.8437093489308467,-0.9377053308657048,False,True,False,0.8946587,High
3974,0,1,0,0,-1.0008993990172337,1,1,2,0,0,0,0,0,1,0,0,0.6709861050341659,-0.7058543351088383,False,True,False,0.89444494,High
383,1,0,0,0,-1.2861451872261143,1,1,2,0,1,0,0,0,1,0,1,0.8586565527295975,-0.9716995959055941,True,False,False,0.89443177,High
5739,0,0,0,0,-0.4711572209150268,1,1,2,0,1,0,0,1,1,0,1,1.1576006287046219,-0.135928505713512,True,False,False,0.8942838,High
139,0,1,1,0,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.1810499805195427,-0.9806651163556749,False,False,True,0.8941376,High
113,0,1,1,0,0.1808331521338431,1,1,2,0,0,0,0,0,0,0,1,0.3820068315916423,0.24888569556544216,False,True,False,0.8932908,High
2270,1,0,1,1,-1.2861451872261143,1,1,2,0,0,0,0,0,0,0,1,0.31557481470830356,-0.9788851968545558,False,True,False,0.8923825,High
1778,1,0,0,1,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.22090919064954603,-0.9801377327997876,False,True,False,0.8893581,High
4693,1,1,0,0,-0.4711572209150268,1,1,2,0,1,1,0,1,1,0,1,1.307072666692134,-0.013179983080789461,False,True,False,0.88868785,High
2241,0,0,1,1,-1.2861451872261143,1,1,2,1,0,1,0,1,1,0,1,1.2439622506529624,-0.9666015548653522,False,True,False,0.8880617,High
3984,0,0,0,0,-1.163896992279451,1,1,2,0,1,0,1,0,1,0,1,0.9466789751000215,-0.8524449893306235,False,True,False,0.8875542,High
5092,0,0,0,0,-1.2861451872261143,1,0,2,0,0,1,0,0,0,0,0,0.34214762146163896,-0.9785336078172976,False,True,False,0.8870052,High
1440,1,0,0,0,-0.5119066192305812,1,1,2,0,0,0,1,1,1,0,1,1.1144198177304518,-0.11861274562855219,False,False,True,0.8860859,High
1079,1,0,0,0,-1.2453957889105598,1,0,2,0,0,0,0,0,1,0,1,0.5298180691570711,-0.9364088462908156,False,True,False,0.88520426,High
2952,0,0,0,0,-1.163896992279451,1,1,2,0,1,0,0,0,0,0,1,0.5082276636699858,-0.8691454686003817,False,False,True,0.88517314,High
1705,0,0,0,0,-1.1231475939638966,1,1,2,0,0,1,1,0,0,0,1,0.5896068843520759,-0.8280315255560164,False,True,False,0.8850949,High
2151,0,0,0,0,-1.2453957889105598,1,0,2,0,0,0,0,0,1,0,0,0.5165316657804031,-0.9307174987502007,False,True,False,0.88485503,High
2883,0,1,0,1,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.19931878516246077,-0.9804233988925598,False,True,False,0.8815697,High
3418,1,0,0,0,-0.9194006023861249,1,0,2,0,0,0,0,1,1,0,1,0.8138149413333441,-0.6323063033774164,False,True,False,0.8808481,High
6827,1,0,0,0,-0.7971524074394618,1,1,2,0,0,0,1,1,1,0,1,1.129367021529203,-0.4395476137006813,False,False,True,0.88035715,High
1691,1,0,0,0,-1.2046463905950056,1,1,2,0,0,0,0,0,1,0,1,0.6743077058783327,-0.8952509546167932,False,True,False,0.877572,High
3405,1,1,1,0,0.832823525182713,1,1,2,0,1,0,0,1,1,0,1,1.2256934460100444,1.4272583282506814,False,True,False,0.8773621,High
5031,0,1,0,0,-1.2453957889105598,1,0,2,0,0,0,0,0,1,0,1,0.48497645776081716,-0.9259051238027307,False,True,False,0.87535715,High
5125,1,1,1,0,-0.3489090259683637,1,1,2,0,1,1,0,1,1,0,1,1.3037510658479672,0.05803877127879777,False,True,False,0.8752734,High
2150,0,0,1,0,-0.1044126360750375,1,1,2,0,0,0,0,0,1,0,1,0.6643429033458319,0.141694987831389,False,True,False,0.8740852,High
6119,0,0,1,0,-0.7564030091239073,1,0,2,0,0,0,0,0,1,0,1,0.4351524450983131,-0.5183475066761455,False,True,False,0.87250155,High
3001,1,1,0,0,-0.7564030091239073,1,1,2,0,0,0,0,0,0,0,1,0.33052201850705487,-0.5559895079775873,False,True,False,0.87230504,High
5169,1,1,1,0,0.14008375381828872,1,1,2,0,0,0,0,0,1,0,1,0.6344484957483293,0.316324867774505,False,True,False,0.871674,High
2291,1,1,0,0,-1.2861451872261143,1,0,1,0,0,0,0,0,0,0,0,-0.6576542326326088,-0.9917621453441325,False,True,False,0.8716212,High
6222,0,1,1,0,-1.2861451872261143,1,0,2,0,1,0,0,0,0,0,1,0.37868523074747557,-0.9780501728910679,False,False,True,0.87141895,High
1719,0,0,1,0,-1.2046463905950056,1,1,2,0,0,0,0,1,1,0,0,0.9931813869183589,-0.8915592697255834,False,True,False,0.8709869,High
891,0,0,0,0,-1.2861451872261143,0,0,1,0,0,0,0,0,0,0,0,-1.341904006530998,-1.0008155630535278,False,True,False,0.8707675,High
3180,0,1,0,0,-1.2861451872261143,0,0,1,0,0,0,0,0,0,0,0,-1.326956802732247,-1.00061779422007,False,False,True,0.87032235,High
4632,1,0,1,1,-1.2861451872261143,1,0,2,0,0,0,0,0,0,0,1,0.1661027767207914,-0.9808628851891324,False,True,False,0.86990166,High
2469,0,0,0,0,0.5883271352893868,1,1,2,0,1,1,0,1,1,0,1,1.3735046835754727,1.1194860747609017,False,True,False,0.8694342,High
3903,0,0,0,0,0.5883271352893868,1,1,2,0,1,1,0,1,1,0,1,1.3751654839975567,1.2420368285601662,False,True,False,0.8687387,High
3518,0,1,0,0,-0.8786512040705705,1,1,2,0,0,0,0,0,1,0,1,0.6576997016574979,-0.613078777902366,True,False,False,0.86800325,High
2289,1,0,0,0,-0.8379018057550162,1,1,2,0,1,1,0,1,1,0,1,1.3851302865300572,-0.46055505867685076,False,True,False,0.86765593,High
2163,1,1,1,0,-1.041648797332788,1,1,2,0,0,0,0,0,0,0,1,0.3122532138641368,-0.7796221099885464,False,False,True,0.8673825,High
6275,0,0,0,0,-0.38965842428391806,1,1,2,0,0,0,0,1,1,0,1,0.9466789751000215,0.01745221179031973,False,True,False,0.866273,High
5695,0,0,1,0,-0.5526560175461356,1,1,2,0,0,0,0,1,0,0,1,0.7257925189629201,-0.3240945635910636,False,True,False,0.865668,High
4839,0,1,0,0,0.1808331521338431,1,1,2,0,0,0,0,0,0,0,1,0.37370282948122496,0.2371953600766115,False,True,False,0.86529726,High
1452,1,0,1,0,0.3845801437116149,1,1,2,0,0,1,1,1,1,1,1,1.438275900036728,1.0039231530771404,False,True,False,0.8649992,High
700,1,0,0,0,0.09933435550273437,1,1,2,0,0,0,0,1,0,0,0,0.6028932877287437,0.24022781552296216,False,True,False,0.86455435,High
185,0,0,1,0,-1.2861451872261143,0,0,1,0,0,0,0,0,0,0,1,-1.3352608048426642,-1.000727665794213,False,True,False,0.8634171,High
6034,1,0,0,0,-1.2046463905950056,0,0,1,0,0,1,0,1,0,0,1,-0.8253950752630393,-0.9541640926723479,False,False,True,0.86341274,High
6617,1,1,1,0,-1.0823981956483424,1,0,2,0,0,1,0,1,1,0,1,1.0214149940937776,-0.7594716632906935,False,True,False,0.8625996,High
2383,0,0,0,0,-1.2861451872261143,1,0,1,0,0,0,0,0,1,0,1,-0.31719014610549784,-0.9872574108042635,False,True,False,0.86224735,High
2513,1,0,0,0,-0.3489090259683637,1,1,2,0,1,0,0,1,1,0,1,1.1509574270162883,0.045271694363364146,False,False,False,0.8600953,High
6079,0,0,0,0,-1.2861451872261143,1,0,1,0,0,0,0,0,1,0,1,-0.31885094652758145,-0.9872793851190921,False,True,False,0.8571787,High
6235,1,1,1,0,0.8735729234982674,1,1,2,0,0,1,0,1,1,0,1,1.1310278219512864,1.3157606548102172,True,False,False,0.8571744,High
1767,1,0,0,0,-1.2453957889105598,1,0,2,0,0,0,0,1,0,0,0,0.4650468526958157,-0.9484947194465616,False,True,False,0.8570941,High
4219,0,0,1,0,-1.2046463905950056,1,1,2,0,0,0,0,0,0,0,1,0.360416426104557,-0.8988547422486883,False,True,False,0.8566381,High
3949,0,0,1,0,-1.0823981956483424,1,1,2,0,1,1,0,1,1,0,1,1.33862787471172,-0.7720189970578407,False,True,False,0.8565214,High
5830,1,1,1,0,-1.041648797332788,1,1,2,0,0,0,0,0,0,0,1,0.3454692223058062,-0.7773587555611976,False,True,False,0.8560076,High
2906,0,0,0,0,-1.2861451872261143,1,0,2,0,0,1,0,0,0,0,0,0.2823588062666342,-0.9793246831511284,False,False,False,0.85553616,High
3709,1,1,0,0,-0.8786512040705705,1,0,2,0,0,0,0,0,1,0,1,0.448438848474981,-0.6274280054854607,False,True,False,0.85474837,High
4125,0,0,0,0,-0.7971524074394618,0,0,1,0,0,0,0,0,0,0,1,-1.3651552124401665,-0.8794294479401802,False,True,False,0.8545007,High
3038,0,1,0,0,-1.2453957889105598,0,0,1,0,0,1,0,0,0,0,1,-1.1492511575693156,-0.9770613287237795,False,True,False,0.8541365,High
5538,0,0,0,0,-1.2046463905950056,1,0,2,0,0,0,0,1,1,0,1,0.8121541409112607,-0.9059524459383357,False,True,False,0.85345376,High
6597,0,0,1,0,0.22158255044939748,1,1,2,0,0,1,1,1,1,0,1,1.3286630721792192,0.757920698570637,False,True,False,0.85271496,High
4210,1,1,1,0,-0.7564030091239073,1,1,2,0,0,0,0,0,0,0,1,0.335504419773305,-0.5662734873173858,False,True,False,0.8483892,High
2949,0,0,0,0,-1.041648797332788,1,1,2,0,0,0,0,0,0,0,0,0.34713002272788956,-0.8003438888719437,False,False,True,0.8478473,High
2283,0,0,0,0,-1.1231475939638966,1,0,2,0,1,0,0,1,0,0,1,0.6743077058783327,-0.8268449125552705,False,False,True,0.84686655,High
3058,0,0,0,0,0.1808331521338431,1,1,2,0,0,1,0,1,1,0,1,1.1642438303929559,0.6630575814554449,False,True,False,0.84646374,High
1039,0,0,1,1,-0.7564030091239073,1,0,2,0,0,0,0,0,0,0,0,0.17274597840912537,-0.5517045165860046,False,True,False,0.8464247,High
5205,0,1,1,0,-0.6341548141772443,1,1,2,0,0,0,0,1,1,0,1,0.9151237670804355,-0.3019884028734626,False,True,False,0.845709,High
1434,0,1,0,0,-1.1231475939638966,1,0,2,0,0,1,0,0,0,0,1,0.3504516235720563,-0.8579605423526094,True,False,False,0.844885,High
2488,0,0,1,0,-1.0823981956483424,1,1,2,0,1,0,0,0,1,0,1,0.8553349518854307,-0.7865000705299073,False,True,False,0.84364164,High
2538,1,0,0,0,-0.7971524074394618,1,1,2,1,0,0,0,1,1,0,0,1.1011334143537843,-0.4709489095907924,False,False,True,0.84361327,High
4425,0,0,0,0,-1.163896992279451,1,1,2,0,0,0,0,0,0,0,1,0.3537732244162235,-0.8787482441804927,False,True,False,0.8434775,High
2156,0,0,0,0,-1.2453957889105598,1,0,2,0,0,1,0,0,0,0,1,0.35875562568247366,-0.9409795037751705,False,True,False,0.8432479,High
2034,1,0,0,0,-0.43040782259947247,1,1,2,0,1,0,0,0,0,0,1,0.4766724556503998,-0.25116181267484344,False,True,False,0.84205997,High
701,1,0,0,0,-0.14516203439059186,1,1,2,0,0,0,0,0,1,0,1,0.6610213025016651,0.09420849348672128,False,True,False,0.8418318,High
5719,0,0,0,0,-0.7971524074394618,1,1,2,0,1,1,1,0,0,0,0,0.8104933404891773,-0.5139746180252484,False,True,False,0.8406069,High
2793,1,0,0,0,-0.9194006023861249,1,0,2,0,0,1,0,1,1,0,1,0.9931813869183589,-0.550671723789059,False,True,False,0.83911437,High
5490,1,1,0,0,-0.715653610808353,1,0,2,0,0,0,0,0,1,0,1,0.47833325607248367,-0.5035368184816496,False,True,False,0.8380945,High
4987,0,0,0,0,-1.041648797332788,1,1,2,0,0,0,0,0,0,0,1,0.335504419773305,-0.7686129782594032,False,False,False,0.8379468,High
1921,1,0,1,1,0.6698259319204956,1,1,2,0,0,1,0,1,1,0,1,1.1559398282825384,1.1297480797858712,False,True,False,0.8367609,High
2743,1,0,0,0,-1.163896992279451,0,0,1,0,0,0,0,1,1,0,1,-0.6792446381196942,-0.9350244644566119,False,True,False,0.83639294,High
6959,1,0,0,0,-1.163896992279451,1,1,2,0,0,0,0,0,0,0,1,0.31059241344205296,-0.8950092371536783,False,True,False,0.83623236,High
3559,1,0,0,0,-1.2861451872261143,1,0,1,0,1,0,0,0,0,0,1,-0.47330538578134396,-0.9893229963981547,False,True,False,0.83591837,High
1725,1,0,0,0,-1.2861451872261143,1,1,1,0,0,0,0,1,0,0,1,-0.17103970896215265,-0.9853236710993442,False,True,False,0.835371,High
1084,1,1,1,0,-0.6341548141772443,1,1,2,0,0,1,0,1,1,0,1,1.1775302337696238,-0.29858238407502513,True,False,False,0.8346185,High
1659,0,0,0,0,0.5475777369738324,1,1,2,0,0,0,0,1,1,0,0,1.0313797966262783,0.9218930358218679,False,False,False,0.8340737,High
53,0,1,1,0,-1.0008993990172337,1,1,2,0,1,0,0,0,0,0,1,0.5198532666245703,-0.7333002543297962,True,False,False,0.8325451,High
2931,1,0,0,0,0.3030813470805062,1,1,2,0,1,1,0,1,1,0,1,1.2506054523412964,0.7938487033154455,False,False,True,0.8317172,High
1085,0,0,0,0,-0.6749042124927986,1,1,2,0,0,0,0,0,0,0,1,0.3238788168187209,-0.5152930769149661,True,False,False,0.83162665,High
4064,0,0,0,0,-0.6749042124927986,0,0,1,1,0,0,0,1,0,0,1,-0.866915085815126,-0.7196322305063887,False,True,False,0.82967645,High
5601,0,0,0,0,-1.2046463905950056,1,1,2,0,0,0,0,0,0,0,1,0.3487908231499729,-0.9146762489253014,False,True,False,0.8290424,High
4986,0,0,0,0,-0.5934054158616899,1,0,2,1,0,0,0,1,1,0,1,1.0313797966262783,-0.24661312950531714,False,True,False,0.8281089,High
6082,1,1,1,0,-1.2453957889105598,1,1,2,0,0,0,0,1,0,0,1,0.7257925189629201,-0.9429132434800899,False,False,True,0.8268769,High
4995,1,0,1,1,-0.8786512040705705,1,1,2,0,0,0,0,0,0,0,1,0.31059241344205296,-0.6450074573483641,False,True,False,0.8264137,High
3076,1,0,0,0,-1.163896992279451,1,0,2,0,0,0,0,1,0,0,0,0.42684844298789576,-0.8801326260146962,False,True,False,0.8225635,High
3228,1,1,1,0,-1.163896992279451,0,0,1,0,0,1,0,0,0,0,1,-1.1658591617901504,-0.9596576713795053,False,True,False,0.82234037,High
4890,0,0,0,0,-1.2046463905950056,0,0,1,0,0,0,0,0,0,0,0,-1.320313601043913,-0.985741183081088,False,True,False,0.8219093,High
1416,1,1,0,0,-0.9601500007016792,1,1,2,0,0,0,0,0,1,0,1,0.6444132982808305,-0.6897032137097958,True,False,False,0.8213512,High
6305,0,0,0,0,-1.0823981956483424,1,1,2,0,0,0,0,0,0,0,1,0.29398440922121827,-0.8352610751346355,False,False,True,0.82092637,High
5792,1,1,1,0,0.058584957187179994,1,1,2,0,0,0,0,0,0,0,1,0.3504516235720563,0.05430313775793082,False,True,False,0.819861,High
6565,0,1,0,0,-0.9601500007016792,1,1,2,0,0,1,0,1,0,0,1,0.8337445463983455,-0.652654518908727,False,True,False,0.8197149,High
523,1,0,1,0,0.058584957187179994,1,1,2,0,0,1,0,1,1,0,1,1.1642438303929559,0.5177853861233773,False,True,False,0.81860733,High
195,0,0,1,0,-0.5119066192305812,1,0,2,1,1,0,1,1,0,0,1,1.047987800847113,-0.1758778100719598,False,True,False,0.81811774,High
3002,0,1,0,0,-0.022913839443928746,1,0,2,0,1,0,0,0,0,0,1,0.3122532138641368,-0.010938602968269326,False,True,False,0.8171587,High
3080,1,0,0,0,-1.2046463905950056,1,1,2,0,1,1,0,1,1,0,1,1.3402886751338035,-0.8695629805821257,False,False,False,0.8150474,High
4302,0,0,0,0,-0.43040782259947247,0,0,1,0,0,1,0,1,1,0,1,-0.4782877870475943,-0.5399262838378595,False,True,False,0.8143992,High
746,0,1,0,0,-1.2046463905950056,1,0,2,0,0,1,0,0,0,0,0,0.3338436193512216,-0.922455156374636,False,False,True,0.81394434,High
6274,0,0,0,0,-1.2046463905950056,1,0,2,1,0,1,0,1,1,0,1,1.129367021529203,-0.8853185643142527,True,False,False,0.8135143,High
4385,0,0,1,0,-0.4711572209150268,1,1,2,0,0,0,0,0,1,0,1,0.7141669160083359,-0.21672806133838146,False,True,False,0.8134006,High
